-11.03,1.2725,1.9458,2.1331,2.414,0.1803,0.1855,0.20797,0.25368
-11.11,1.3539,2.8247,2.9804,3.4511,0.14841,0.23902,0.24373,0.29202
-11.44,1.8967,2.7363,5.2696,7.0753,0.1436,0.13636,0.40036,0.61304
-11.45,1.9072,3.2632,4.7498,6.0287,0.15686,0.28759,0.42198,0.56745
-11.38,1.595,2.7991,3.992,5.6455,0.1438,0.25989,0.35904,0.56546
-10.87,1.0713,1.9636,1.9626,2.0402,0.16856,0.11563,0.13951,0.19683
-10.96,1.0628,1.8509,1.9849,2.2014,0.17954,0.1021,0.11819,0.14416
-11.23,1.413,2.1958,2.6508,3.4118,0.21637,0.26077,0.36462,0.46929
-10.95,0.99577,2.1159,2.1769,2.2615,0.19549,0.29391,0.20123,0.24738
-11.12,1.2853,2.3743,2.4475,3.4125,0.15084,0.20726,0.11057,0.15416
-10.54,1.109,1.9954,2.0003,1.9936,0.1252,0.21398,0.22583,0.28152
-11.43,1.821,2.9346,4.1905,5.6969,0.16164,0.19767,0.11059,0.13615
-11.48,2.028,3.2516,5.6044,8.36,0.29791,0.37629,0.57056,0.8036
