,Cognate,Cognate err,Non-cognate,Non-cognate err,Unrepressed,Unrepressed err,FR cognate,FR cognate err,FR non-cognate,FR non-cognate err
1 site BCB,0,0,5984.548387,2661.093726,18803.93548,969.1924881,0,0,3.14208095,1.406514743
2 sites BCB,0,0,3823.983871,1760.992414,25018.64516,4827.075847,0,0,6.542560326,3.266679365
2 sites ADD,0,0,4229.870968,198.1723779,25271.41935,1070.650906,0,0,5.974513064,0.377382697
ADD/BCB-PDZ*,1768.903226,0,6453.645161,0,26193,0,14.80748049,0,4.058636529,0
ADD/BCB-PDZ,922.3870968,1.459833355,4527.096774,1887.929486,27882.27419,241.2602718,30.22838707,0.265900064,6.158974633,2.569022278
ADD/BCB-LZ,1003.177419,13.6631278,2845.370968,3.763632868,16340.14516,386.7874093,16.28839012,0.444829976,5.742711705,0.136147735
AA-LZ,437.7580645,17.08461223,0,0,12246.82258,229.3991258,27.97623522,1.211086567,0,0
