-11.94,7.6756,0.80606,2.5621,0.35085
-11.91,6.0906,0.64157,2.2053,0.23799
-11.96,6.8016,0.74,2.0981,0.2878
-11.97,8.0549,0.93013,2.4812,0.22684
-11.56,3.0201,0.39934,1.4112,0.18635
-11.73,4.68,0.54884,1.6153,0.21106
-10.96,1.5722,0.17646,1.2336,0.17113
-11.93,6.8223,0.78,2.0067,0.21636
-11.59,3.5647,0.35942,1.4646,0.1517
-11.82,4.5793,0.44409,1.6164,0.17709
-11.72,3.498,0.34764,1.4465,0.1913
-11.7,3.0179,0.37143,1.4972,0.18451
-11.78,4.3149,0.49118,1.5419,0.24595
-10.96,1.7552,0.15669,1.0199,0.11801
-11.62,3.7396,0.35238,1.4025,0.18323
-11.03,1.4302,0.15028,1.1221,0.12971
-11.74,4.7256,0.52793,1.6566,0.18084
-11.98,6.8284,0.61047,2.157,0.29135
-11.7,5.2763,0.64669,1.8759,0.21342
-11.89,5.7448,0.57994,1.8133,0.23179
-11.93,6.9297,0.74577,2.1667,0.24593
-11.82,5.3579,0.63684,1.7834,0.22783
-11.91,6.6829,0.61023,2.0471,0.31395
-11.7,4.2696,0.50315,1.3714,0.1697
-11.94,6.7571,0.68161,2.0569,0.21868
-11.34,1.0072,0.12485,0.95688,0.10407
-11.37,1.1412,0.11651,0.97213,0.11006
-10.59,1.0674,0.15525,1.0247,0.15354
-10.82,1.1287,0.13333,1.0353,0.11033
-11.64,2.5319,0.26667,1.3924,0.12586
-11.96,7.0366,0.74579,2.4444,0.23169
