∆G,fold-repression,fr error,Kd,Kd err
-10.898,1.2602,0.11953,10.151191825620037,2.5377979564050093
-10.647,1.1145,0.12202,15.51032605298347,3.412271731656363
-10.677999999999999,1.1023,0.15433,14.719158994441765,5.593280417887871
-11.251,2.4623,0.23091,5.592397257059179,1.5658712319765704
-11.065999999999999,1.5602,0.13663,7.643497332029443,2.828094012850894
-10.95,1.7045,0.17044,9.297709848333964,3.254198446916887
-11.106,1.9701,0.18139,7.144187638045787,2.286140044174652
-10.770999999999999,1.2069,0.12578,12.579668697976452,3.5223072354334066
-10.295,1.0068,0.09489700000000001,28.106480495406498,10.961527393208534
-11.270999999999999,4.0653,0.39221999999999996,5.406651552937156,2.1085941056454907
-11.193,3.1099,0.26366,6.1679372882472405,1.2952668305319204
-11.129000000000001,2.4077,0.20711,6.87199404843719,1.5118386906561818
-10.942,2.0624,0.20481999999999997,9.424185855065943,2.261804605215826
-11.011,1.7738,0.13805,8.387520773224766,1.9291297778416963
-11.294,3.3895,0.32142,5.200658098045283,1.8722369152963017
-11.183,2.3078,0.17274,6.27299246508597,1.6937079655732121
-11.11,1.9082,0.16512000000000002,7.096086910498936,2.4126695495696384
-11.157,2.0879,0.18225999999999998,6.554586341212844,1.310917268242569
-11.069,2.3078,0.24211,7.604867879426576,2.4335577214165043
-11.274000000000001,3.8147,0.39502,5.3793268897847,2.044144218118186
-11.249,3.3186,0.34221999999999997,5.611319239569157,2.1884145034319715
-11.24,3.0697,0.25456,5.697263578210626,1.310370622988444
-11.334000000000001,4.3019,0.43762,4.860926311580573,1.7013242090532004
-11.342,4.246,0.42393000000000003,4.795690909991307,1.5825780002971312
-11.355,4.022,0.46917,4.691545395946152,1.266717256905461
-10.9,1.3385,0.12097000000000001,10.116960895961727,3.4397667046269875
-10.6,1.0586,0.12866,16.79169606632734,6.380844505204389
-10.4,1.0376,0.12290999999999999,23.53915636239658,4.943222836103281
