∆G,fold-repression,fr error,Kd,Kd err
-10.411,1.0271,0.094189,23.105884371931904,7.856000686456848
-11.411,2.1553,0.20856,4.268162549860473,1.2804487649581417
-10.470999999999998,1.2202,0.12115,20.879192433750358,5.2197981084375895
-11.001,1.7001,0.16924,8.53038092839344,2.985633324937704
-10.761,1.3185,0.17892,12.793931466529031,4.477876013285161
-10.011000000000001,1.1466,0.12088,45.4062100234779,9.08124200469558
-11.190999999999999,2.0157,0.20406,6.188806621401915,1.7947539202065552
-9.821,1.1034,0.099566,62.58593808302944,23.156797090720893
-10.821,1.2607,0.13161,11.560992549515555,3.3526878393595108
-10.421,0.9523299999999999,0.10893,22.718925072647092,7.951623775426482
-10.600999999999999,1.1511,0.12734,16.763360440140517,3.6879392968309137
-10.360999999999999,0.9861,0.090663,25.141817982127744,8.045381754280879
-11.591,4.242,0.44406999999999996,3.1493016069920765,0.7558323856780983
-11.530999999999999,2.7785,0.28654,3.485163471450792,1.359213753865809
-11.280999999999999,1.8022,0.16066,5.316105176839855,2.0732810189675437
-11.431,2.5193,0.21968000000000001,4.126399935065819,0.9903359844157964
-11.001,1.3588,0.14937,8.53038092839344,2.9003295156537696
-11.270999999999999,1.9881,0.18097,5.406651552937156,1.8382615279986332
-10.870999999999999,1.3643,0.13947,10.624806736878092,2.549953616850742
-11.231,1.4734,0.14776,5.784524261374508,1.7932025210260976
-11.581,3.5482,0.31505,3.2029419768238956,0.9608825930471686
-11.501,3.2011,0.30507,3.666296657006766,1.0265630639618946
-11.574000000000002,2.9042,0.24884,3.24103292339132,0.7778479016139168
-11.431,2.7649,0.20769,4.126399935065819,1.1966559811690873
-11.581,3.1776,0.32393,3.2029419768238956,0.7366766546694961
-11.581,3.9738,0.41676,3.2029419768238956,0.672617815133018
-11.530999999999999,4.0828,0.40297,3.485163471450792,1.1849555802932694
-11.501,3.4124,0.39548,3.666296657006766,1.393192729662571
-11.582,4.0757,0.42196999999999996,3.1975370810828774,0.7034581578382331
-11.681,4.2168,0.40554,2.7052095178517925,0.8386149505340557
-11.597999999999999,4.1837,0.40718000000000004,3.1122887527347634,0.7469493006563431
-11.600999999999999,4.3339,0.42088000000000003,3.0965595641660384,0.6502775084748681
-11.751,4.5973,0.46596000000000004,2.403572307065944,0.9373931997557181
-11.790999999999999,4.9895,0.5019,2.246559502458871,0.5841054706393065
-11.604000000000001,3.7873,0.3985,3.080909869305198,0.6778001712471436
