,Background,Backgroundstd,CBD,CBDstd,ZF,ZFstd,CBD-bkg,CBD-bkgstd,ZF-bkg,ZF-bkgstd,FR,FRstd
BCB1,251.61649148333333,5.546567185646984,2811.4870899999996,260.00409069999995,1494.288417,121.0404473,2559.870598516666,260.0632453621209,1242.6719255166668,121.16746382642897,2.05997298720042,0.290071294178211
BCB2,304.61440128333334,3.694356839490227,4591.616172,453.6552387,1812.4828899999998,105.74384779999998,4287.001770716666,453.6702810107925,1507.8684887166664,105.80836271300606,2.8430873135131933,0.3610025840250552
BCB3,318.0406472833333,9.26291889779225,4557.025825,300.83364950000004,1522.034845,109.4552988,4238.985177716666,300.9762222136426,1203.9941977166666,109.84654797445552,3.5207687759257933,0.4070277205191389
BCB4,232.20793719999998,3.0672939789479403,2126.5717170000003,209.3030796,1023.496782,94.38585,1894.3637798000002,209.32555367751263,791.2888448000001,94.43567637591099,2.3940231083111057,0.3893735541865556
BCB5,415.9502622500001,14.033808235423582,4403.137939,383.5520795,4324.074238,451.6450211,3987.1876767500003,383.80873552117464,3908.12397575,451.8630023115503,1.0202306020716314,0.15349100268742802
BCB6,216.34252163333335,1.9544469994298292,1410.833644,108.5803712,883.0238634,77.34080165,1194.4911223666668,108.59795980129356,666.6813417666666,77.36549271437637,1.7916972435456722,0.2641295977306433
BCB7,511.47493714999996,14.638342686519808,7325.17858,527.93754,4948.405807,294.9470408,6813.70364285,528.140442702374,4436.93086985,295.31007086329595,1.535679469146282,0.15689433699633312
