ZF ratio,AA cooperative,AA cooperative std,AA non-cooperative,AA non-cooperative std
1,373.0783804,61.50342389,2474.552797,256.6718411
0.3,519.3832216,106.8016242,2786.728668,303.1975797
0.15,738.8384254,90.11317101,3080.043069,344.514112
0.05,1033.660726,176.7302714,3205.399025,358.48692
0.025,1651.466328,202.5405832,3421.59914,396.6191144
0,3175.943023,389.9353091,3678.797811,430.3340058
