ZF ratio,BCB+ADD cooperative,BCB+ADD cooperative std,BCB+ADD non-cooperative,BCB+ADD non-cooperative std,BCB-PDZ,BCB-PDZ std,ADD-L,ADD-L std
1,470.1966567,56.80944035,989.4052,99.86336205,1590.235365,148.3791519,2178.363847,283.8988242
0.3,607.4387495,65.61204656,1313.706161,176.4898624,1904.619197,193.2933502,2699.581369,307.0280882
0.15,806.6783962,89.42467369,1599.165597,161.1981515,2237.674445,232.5396514,3019.739463,314.8145367
0.05,1024.703522,105.7431792,1997.293632,216.7054391,2540.652768,257.4970627,3141.097894,387.4067541
0.025,1628.412579,182.8146952,2413.694068,261.553662,2858.381887,296.4347608,3581.201679,396.0329923
0,3676.486652,404.7269996,3540.37852,413.5675585,3604.330122,395.1814148,3984.621275,412.9744784
