,KD,err+,err-
AAA2,1.81E-01,1.25E-02,1.23E-02
ACA2,1.21E+00,1.93E-01,1.57E-01
ADB2,2.17E-01,2.47E-02,1.79E-02
ADD2,9.10E-02,6.70E-03,6.62E-03
BAB2,3.62E-02,2.17E-03,2.36E-03
BBB2,6.26E-01,8.89E-02,7.41E-02
BCB2,1.24E-01,1.08E-02,1.04E-02
BCC2,1.89E+00,4.44E-01,3.39E-01
BCD2,3.81E-01,3.71E-02,3.42E-02
BDC2,3.33E-01,3.59E-02,3.37E-02
BDD2,3.58E-01,3.29E-02,3.09E-02
