,KD,err+,err-
1AAA2,2.14E+00,1.49E-01,1.59E-01
1ACA2,8.94E+00,6.58E-01,6.86E-01
1ADB2,1.01E+00,5.53E-02,5.24E-02
1ADD2,1.70E+00,8.49E-02,1.05E-01
1BAB2,4.46E-01,2.56E-02,2.47E-02
1BBB2,2.93E+00,1.75E-01,2.12E-01
1BCB2,7.24E-01,4.26E-02,3.65E-02
1BCC2,1.39E+01,2.35E+00,1.73E+00
1BCD2,6.70E+00,6.20E-01,6.48E-01
1BDC2,6.87E+00,5.10E-01,4.21E-01
1BDD2,4.39E+00,2.89E-01,2.86E-01
