∆G,∆G err,Kd,Kd err
-11.355,3.29295,4.691545395946152,1.360548164824384
-11.342,2.4952400000000003,4.795690909991307,1.0550520001980874
-11.334000000000001,3.6268800000000003,4.860926311580573,1.5554964197057835
-11.294,2.93644,5.200658098045283,1.3521711054917736
-11.274000000000001,3.60768,5.3793268897847,1.721384604731104
-11.270999999999999,3.49401,5.406651552937156,1.6760619814105182
-11.251,2.81275,5.592397257059179,1.3980993142647948
-11.249,2.58727,5.611319239569157,1.2906034251009062
-11.24,3.8216000000000006,5.697263578210626,1.9370696165916128
-11.193,2.57439,6.1679372882472405,1.4186255762968654
-11.183,4.24954,6.27299246508597,2.3837371367326687
-11.157,3.45867,6.554586341212844,2.031921765775982
-11.129000000000001,3.2274100000000003,6.87199404843719,1.992878274046785
-11.11,2.5553,7.096086910498936,1.6320999894147554
-11.106,3.44286,7.144187638045787,2.214698167794194
-11.069,2.9886300000000006,7.604867879426576,2.0533143274451757
-11.065999999999999,3.65178,7.643497332029443,2.5223541195697163
-11.011,2.75275,8.387520773224766,2.0968801933061916
-10.95,2.2994999999999997,9.297709848333964,1.9525190681501323
-10.942,3.61086,9.424185855065943,3.1099813321717615
-10.9,3.815,10.116960895961727,3.540936313586604
-10.898,4.03226,10.151191825620037,3.7559409754794135
-10.770999999999999,3.2312999999999996,12.579668697976452,3.7739006093929355
-10.677999999999999,3.4169599999999996,14.719158994441765,4.7101308782213644
-10.647,3.6199800000000004,15.51032605298347,5.27351085801438
-10.6,3.7099999999999995,16.79169606632734,5.877093623214568
-10.4,3.7439999999999998,23.53915636239658,8.474096290462768
-10.295,2.16195,28.106480495406498,5.902360904035365
