ZF ratio,BCB+ADD cooperative,BCB+ADD cooperative std,BCB+ADD non-cooperative,BCB+ADD non-cooperative std,BCB-GCN,BCB-GCN std,ADD-GCN,ADD-GCN std
1,497.2740046,57.02590345,1062.462655,115.7427926,1628.942475,158.2793094,1741.040567,130.3446269
0.3,699.2351437,94.64849325,1402.419011,130.8577427,1984.38386,179.047589,2209.123035,94.72939485
0.15,936.1437693,113.5781919,1771.053409,184.4256935,2386.137357,200.3415764,2670.435311,134.3190129
0.05,1329.668311,150.3396391,2173.767841,238.4478973,2980.944793,182.321174,2940.025886,248.8695141
0.025,2073.505704,236.5960836,3170.289466,343.0376808,3089.283653,378.3756448,3182.244044,297.3071381
0,4030.29762,433.2079922,3991.40738,484.3739672,3869.717153,461.4187573,3858.738896,488.2201264
