,Background,Backgroundstd,CBD,CBDstd,ZF,ZFstd,CBD-bkg,CBD-bkgstd,ZF-bkg,ZF-bkgstd,FR,FRstd
AAA,911.7932524,7.11339518,4271.835096,449.5102889,1932.027294,199.5418693,3360.041844,449.5665693,1020.234042,199.6686205,3.293402991,0.780777941
ACA,978.6811691,6.566182059,9205.978026,996.1729642,3629.928091,268.2125316,8227.296857,996.1946042,2651.246922,268.2928938,3.103180164,0.489691048
ADB,966.1188612,10.82194354,8139.586429,854.2690683,1937.592785,75.55726121,7173.467568,854.3376121,971.4739238,76.32833146,7.384107172,1.053555844
ADD,1060.673712,39.41386118,11910.56424,1292.476777,2502.008539,156.8052074,10849.89053,1293.077597,1441.334827,161.6827929,7.527668329,1.23203341
BAB,917.7019952,4.968515614,4276.470023,484.8709635,1655.691445,75.22303085,3358.768028,484.8964192,737.9894498,75.38693864,4.551241252,0.804899811
BBB,942.834513,5.040127618,6107.540949,634.9825949,2145.926283,147.7895828,5164.706436,635.0025974,1203.09177,147.8755006,4.292861579,0.746320824
BCB,1007.204851,24.24447547,10284.29838,1186.107092,1917.24676,109.5849349,9277.093529,1186.354849,910.0419094,112.2348099,10.19413879,1.811100242
BCC,926.8505182,3.08884412,4531.44867,488.0400298,2577.557373,312.6012433,3604.598152,488.0498045,1650.706855,312.6165035,2.183669463,0.508369685
BCD,1060.819839,27.4787112,9931.595389,1074.933454,3566.54815,382.0841036,8870.77555,1075.284618,2505.728311,383.0709357,3.540198477,0.690703106
BDC,915.7792154,2.97559333,3566.558415,376.4876571,2011.570752,98.97686616,2650.7792,376.4994158,1095.791537,99.02158447,2.419054274,0.407231158
BDD,1036.062166,28.20958144,9601.232933,993.1649832,2952.799365,183.7033112,8565.170767,993.565531,1916.737199,185.8566303,4.468620304,0.675610277
